Date,Apple Stand Hour (count),Apple Stand Time (min),Headphone Audio Exposure (dBASPL),Step Count (count),Walking + Running Distance (km),Walking Asymmetry Percentage (%),Walking Speed (km/hr),Walking Step Length (cm) 
2017-08-31 00:00:00,,,,5415,2.83,,, 
2017-09-01 00:00:00,,,,4914,2.97,,, 
2017-09-02 00:00:00,,,,3097,2.03,,, 
2017-09-03 00:00:00,,,,2670,1.59,,, 
2017-09-04 00:00:00,,,,8345,5.63,,, 
2017-09-05 00:00:00,,,,5687,3.39,,, 
2017-09-06 00:00:00,,,,9843,5.42,,, 
2017-09-07 00:00:00,,,,7405,4.13,,, 
2017-09-08 00:00:00,,,,6627,3.52,,, 
2017-09-09 00:00:00,,,,1847,1.1,,, 
2017-09-10 00:00:00,,,,4551,2.57,,, 
2017-09-11 00:00:00,,,,4995,2.88,,, 
2017-09-12 00:00:00,,,,8970,5.05,,, 
2017-09-13 00:00:00,,,,3636,1.99,,, 
2017-09-14 00:00:00,,,,9428,5.55,,, 
2017-09-15 00:00:00,,,,3961,2.18,,, 
2017-09-16 00:00:00,,,,926,0.639,,, 
2017-09-17 00:00:00,,,,2704,1.53,,, 
2017-09-18 00:00:00,,,,7900,4.27,,, 
2017-09-19 00:00:00,,,,10097,5.9,,, 
2017-09-20 00:00:00,,,,4214,2.37,,, 
2017-09-21 00:00:00,,,,6696,3.64,,, 
2017-09-22 00:00:00,,,,4699,2.54,,, 
2017-09-23 00:00:00,,,,4703,2.69,,, 
2017-09-24 00:00:00,,,,5541,2.98,,, 
2017-09-25 00:00:00,,,,7672,4.78,,, 
2017-09-26 00:00:00,,,,11006,7.04,,, 
2017-09-27 00:00:00,,,,5570,3.02,,, 
2017-09-28 00:00:00,,,,5146,2.83,,, 
2017-09-29 00:00:00,,,,4388,2.47,,, 
2017-09-30 00:00:00,,,,6344,3.74,,, 
2017-10-01 00:00:00,,,,3652,2.12,,, 
2017-10-02 00:00:00,,,,5297,3.03,,, 
2017-10-03 00:00:00,,,,7201,4.82,,, 
2017-10-04 00:00:00,,,,3471,1.98,,, 
2017-10-05 00:00:00,,,,5633,3.36,,, 
2017-10-06 00:00:00,,,,5430,3.09,,, 
2017-10-07 00:00:00,,,,1142,0.761,,, 
2017-10-08 00:00:00,,,,5040,2.68,,, 
2017-10-09 00:00:00,,,,6118,3.32,,, 
2017-10-10 00:00:00,,,,6311,3.55,,, 
2017-10-11 00:00:00,,,,3270,1.85,,, 
2017-10-12 00:00:00,,,,5315,3.03,,, 
2017-10-13 00:00:00,,,,5013,2.94,,, 
2017-10-14 00:00:00,,,,4894,2.83,,, 
2017-10-15 00:00:00,,,,3089,1.75,,, 
2017-10-16 00:00:00,,,,4601,2.58,,, 
2017-10-17 00:00:00,,,,7692,4.2,,, 
2017-10-18 00:00:00,,,,3130,1.74,,, 
2017-10-19 00:00:00,,,,6952,4.24,,, 
2017-10-20 00:00:00,,,,4703,2.76,,, 
2017-10-21 00:00:00,,,,6971,4.47,,, 
2017-10-22 00:00:00,,,,8892,5.34,,, 
2017-10-23 00:00:00,,,,3215,1.76,,, 
2017-10-24 00:00:00,,,,4856,2.8,,, 
2017-10-25 00:00:00,,,,1017,0.598,,, 
2017-10-26 00:00:00,,,,7112,3.93,,, 
2017-10-27 00:00:00,,,,4851,2.73,,, 
2017-10-28 00:00:00,,,,3764,2.08,,, 
2017-10-29 00:00:00,,,,1755,0.936,,, 
2017-10-30 00:00:00,,,,2987,1.71,,, 
2017-10-31 00:00:00,,,,11762,6.84,,, 
2017-11-01 00:00:00,,,,623,0.433,,, 
2017-11-02 00:00:00,,,,2968,1.72,,, 
2017-11-03 00:00:00,,,,2452,1.48,,, 
2017-11-04 00:00:00,,,,509,0.345,,, 
2017-11-05 00:00:00,,,,2724,1.58,,, 
2017-11-06 00:00:00,,,,5335,2.83,,, 
2017-11-07 00:00:00,,,,6388,3.53,,, 
2017-11-08 00:00:00,,,,3934,2.19,,, 
2017-11-09 00:00:00,,,,5678,3.19,,, 
2017-11-10 00:00:00,,,,4967,2.81,,, 
2017-11-11 00:00:00,,,,9149,4.97,,, 
2017-11-12 00:00:00,,,,200,0.128,,, 
2017-11-13 00:00:00,,,,5729,3.18,,, 
2017-11-14 00:00:00,,,,6981,4.02,,, 
2017-11-15 00:00:00,,,,3579,1.99,,, 
2017-11-16 00:00:00,,,,4437,2.44,,, 
2017-11-17 00:00:00,,,,5724,3.17,,, 
2017-11-18 00:00:00,,,,2916,2.2,,, 
2017-11-19 00:00:00,,,,1389,0.739,,, 
2017-11-20 00:00:00,,,,5144,2.91,,, 
2017-11-21 00:00:00,,,,5513,3.1,,, 
2017-11-22 00:00:00,,,,4478,2.45,,, 
2017-11-23 00:00:00,,,,4432,2.55,,, 
2017-11-24 00:00:00,,,,6171,3.35,,, 
2017-11-25 00:00:00,,,,1732,1.13,,, 
2017-11-26 00:00:00,,,,2989,1.77,,, 
2017-11-27 00:00:00,,,,6847,3.73,,, 
2017-11-28 00:00:00,,,,7333,4.09,,, 
2017-11-29 00:00:00,,,,4987,2.85,,, 
2017-11-30 00:00:00,,,,7296,4.35,,, 
2017-12-01 00:00:00,,,,6170,3.46,,, 
2017-12-02 00:00:00,,,,6123,3.62,,, 
2017-12-03 00:00:00,,,,892.35,0.516,,, 
2017-12-04 00:00:00,,,,4638,2.58,,, 
2017-12-05 00:00:00,,,,5183,2.81,,, 
2017-12-06 00:00:00,,,,4629,2.52,,, 
2017-12-07 00:00:00,,,,6841,4.5,,, 
2017-12-08 00:00:00,,,,5576,3.22,,, 
2017-12-09 00:00:00,,,,2149,1.44,,, 
2017-12-10 00:00:00,,,,551,0.419,,, 
2017-12-11 00:00:00,,,,6641,4.27,,, 
2017-12-12 00:00:00,,,,5890,3.38,,, 
2017-12-13 00:00:00,,,,8683,5.34,,, 
2017-12-14 00:00:00,,,,6978,4.13,,, 
2017-12-15 00:00:00,,,,6184,3.58,,, 
2017-12-16 00:00:00,,,,10148,5.96,,, 
2017-12-17 00:00:00,,,,5049,2.82,,, 
2017-12-18 00:00:00,,,,6886,3.89,,, 
2017-12-19 00:00:00,,,,6291,3.57,,, 
2017-12-20 00:00:00,,,,3647,2.02,,, 
2017-12-21 00:00:00,,,,4207,2.42,,, 
2017-12-22 00:00:00,,,,5840,3.42,,, 
2017-12-23 00:00:00,,,,413,0.286,,, 
2017-12-24 00:00:00,,,,8453,5.29,,, 
2017-12-25 00:00:00,,,,9197,6,,, 
2017-12-26 00:00:00,,,,4303,2.92,,, 
2017-12-27 00:00:00,,,,7551,4.38,,, 
2017-12-28 00:00:00,,,,6774,4.16,,, 
2017-12-29 00:00:00,,,,7237,4.67,,, 
2017-12-30 00:00:00,,,,2125,1.26,,, 
2017-12-31 00:00:00,,,,5809,3.22,,, 
2018-01-01 00:00:00,,,,5243,3,,, 
2018-01-02 00:00:00,,,,1980,1.11,,, 
2018-01-03 00:00:00,,,,7614,4.26,,, 
2018-01-04 00:00:00,,,,5530,3.14,,, 
